Datetime,Open,High,Low,Close,Volume
2024-05-31 12:33:00-04:00,518.9,519.09,518.87,519.06,70531.0
2024-05-31 12:33:00-04:00,518.9,519.09,518.87,519.06,70531.0
2024-05-31 12:34:00-04:00,519.06,519.09,518.95,518.97,52867.0
2024-05-31 12:34:00-04:00,519.06,519.09,518.95,518.97,52867.0
2024-05-31 12:35:00-04:00,518.96,519.0,518.93,518.97,40584.0
2024-05-31 12:35:00-04:00,518.96,519.0,518.93,518.97,40584.0
2024-05-31 12:36:00-04:00,518.97,519.05,518.94,518.96,68333.0
2024-05-31 12:36:00-04:00,518.97,519.05,518.94,518.96,68333.0
2024-05-31 12:37:00-04:00,518.96,519.03,518.72,518.76,117892.0
2024-05-31 12:37:00-04:00,518.96,519.03,518.72,518.76,117892.0
2024-05-31 12:38:00-04:00,518.75,519.06,518.75,519.05,57413.0
2024-05-31 12:38:00-04:00,518.75,519.06,518.75,519.05,57413.0
2024-05-31 12:39:00-04:00,519.06,519.2,518.99,519.2,69898.0
2024-05-31 12:39:00-04:00,519.06,519.2,518.99,519.2,69898.0
2024-05-31 12:40:00-04:00,519.2,519.28,519.08,519.21,221213.0
2024-05-31 12:40:00-04:00,519.2,519.28,519.08,519.21,221213.0
2024-05-31 12:41:00-04:00,519.21,519.34,519.11,519.34,80853.0
2024-05-31 12:41:00-04:00,519.21,519.34,519.11,519.34,80853.0
2024-05-31 12:42:00-04:00,519.33,519.43,519.31,519.37,159679.0
2024-05-31 12:42:00-04:00,519.33,519.43,519.31,519.37,159679.0
2024-05-31 12:43:00-04:00,519.37,519.46,519.34,519.34,68804.0
2024-05-31 12:43:00-04:00,519.37,519.46,519.34,519.34,68804.0
2024-05-31 12:44:00-04:00,519.35,519.4,519.25,519.33,98474.0
2024-05-31 12:44:00-04:00,519.35,519.4,519.25,519.33,98474.0
2024-05-31 12:45:00-04:00,519.33,519.41,519.29,519.39,65749.0
2024-05-31 12:45:00-04:00,519.33,519.41,519.29,519.39,65749.0
2024-05-31 12:46:00-04:00,519.4,519.52,519.35,519.38,130429.0
2024-05-31 12:46:00-04:00,519.4,519.52,519.35,519.38,130429.0
2024-05-31 12:47:00-04:00,519.38,519.4,519.21,519.31,85573.0
2024-05-31 12:47:00-04:00,519.38,519.4,519.21,519.31,85573.0
