,Open,High,Low,Close,Volume
2024-06-21 11:15:00,544.82,544.84,544.6,544.67,157621.0
2024-06-21 11:14:00,544.81,544.815,544.76,544.815,48267.0
2024-06-21 11:13:00,544.95,544.95,544.81,544.81,60240.0
2024-06-21 11:12:00,544.72,544.97,544.72,544.94,92193.0
2024-06-21 11:11:00,544.8,544.84,544.71,544.72,39434.0
2024-06-21 11:10:00,544.86,544.89,544.72,544.79,313867.0
2024-06-21 11:09:00,544.95,544.96,544.8,544.845,21637.0
2024-06-21 11:08:00,544.9,544.95,544.81,544.93,21606.0
2024-06-21 11:07:00,544.92,544.96,544.84,544.88,29443.0
2024-06-21 11:06:00,544.87,544.95,544.85,544.89,37955.0
2024-06-21 11:05:00,544.9,544.98,544.812,544.87,62497.0
2024-06-21 11:04:00,545.0,545.0,544.86,544.91,5497590.0
2024-06-21 11:03:00,545.12,545.2,544.98,545.0,52191.0
2024-06-21 11:02:00,545.065,545.13,544.92,545.121,144731.0
2024-06-21 11:01:00,544.9,545.1,544.89,545.09,83840.0
2024-06-21 11:00:00,544.8,544.92,544.7,544.9,60293.0
2024-06-21 10:59:00,544.67,544.9,544.65,544.81,51953.0
2024-06-21 10:58:00,544.53,544.7,544.51,544.67,79075.0
2024-06-21 10:57:00,544.37,544.53,544.285,544.53,27647.0
2024-06-21 10:56:00,544.44,544.45,544.19,544.38,52852.0
2024-06-21 10:55:00,544.45,544.49,544.39,544.43,57691.0
2024-06-21 10:54:00,544.51,544.51,544.39,544.445,16906.0
2024-06-21 10:53:00,544.52,544.58,544.48,544.5,57782.0
2024-06-21 10:52:00,544.55,544.55,544.35,544.52,81448.0
2024-06-21 10:51:00,544.66,544.69,544.54,544.54,43238.0
2024-06-21 10:50:00,544.68,544.8,544.52,544.68,96567.0
2024-06-21 10:49:00,544.49,544.75,544.49,544.68,52392.0
2024-06-21 10:48:00,544.41,544.52,544.29,544.5,49293.0
2024-06-21 10:47:00,544.37,544.545,544.37,544.43,53146.0
2024-06-21 10:46:00,544.26,544.43,544.19,544.35,106452.0
2024-06-21 10:45:00,543.99,544.27,543.99,544.26,57370.0
2024-06-21 10:44:00,543.96,544.05,543.944,543.98,34595.0
2024-06-21 10:43:00,544.05,544.092,543.9,543.97,62152.0
2024-06-21 10:42:00,544.08,544.24,543.99,544.07,53474.0
2024-06-21 10:41:00,543.96,544.175,543.915,544.089,81698.0
2024-06-21 10:40:00,543.97,544.09,543.935,543.965,40610.0
2024-06-21 10:39:00,543.99,544.09,543.95,544.0,50277.0
2024-06-21 10:38:00,544.231,544.28,543.98,543.995,28639.0
2024-06-21 10:37:00,544.155,544.24,544.051,544.24,35433.0
2024-06-21 10:36:00,544.162,544.42,544.162,544.17,38658.0
2024-06-21 10:35:00,543.896,544.22,543.88,544.17,88308.0
2024-06-21 10:34:00,544.0,544.05,543.86,543.88,59196.0
2024-06-21 10:33:00,544.059,544.07,543.9,543.98,53907.0
2024-06-21 10:32:00,544.19,544.21,543.97,544.058,51925.0
2024-06-21 10:31:00,543.99,544.25,543.86,544.2,99364.0
2024-06-21 10:30:00,544.31,544.35,543.96,544.05,138422.0
2024-06-21 10:29:00,544.39,544.47,544.29,544.32,37204.0
2024-06-21 10:28:00,544.31,544.42,544.2,544.4,46565.0
2024-06-21 10:27:00,544.36,544.367,544.24,544.32,52187.0
2024-06-21 10:26:00,544.38,544.479,544.32,544.37,40109.0
2024-06-21 10:25:00,544.16,544.37,544.16,544.36,80999.0
2024-06-21 10:24:00,544.37,544.4,544.04,544.155,109127.0
2024-06-21 10:23:00,544.385,544.445,544.23,544.36,76294.0
2024-06-21 10:22:00,544.52,544.62,544.36,544.405,47979.0
2024-06-21 10:21:00,544.707,544.71,544.44,544.52,43539.0
2024-06-21 10:20:00,544.555,544.75,544.51,544.71,55201.0
2024-06-21 10:19:00,544.5,544.555,544.4,544.555,49789.0
2024-06-21 10:18:00,544.54,544.72,544.42,544.52,68444.0
2024-06-21 10:17:00,544.69,544.72,544.43,544.49,80426.0
2024-06-21 10:16:00,544.64,544.79,544.61,544.695,71896.0
2024-06-21 10:15:00,544.63,544.75,544.523,544.63,116017.0
2024-06-21 10:14:00,544.41,544.6,544.37,544.6,46120.0
2024-06-21 10:13:00,544.38,544.55,544.35,544.42,81940.0
2024-06-21 10:12:00,544.15,544.4,544.07,544.37,63009.0
2024-06-21 10:11:00,544.13,544.239,544.09,544.12,88349.0
2024-06-21 10:10:00,544.11,544.22,544.035,544.12,46809.0
2024-06-21 10:09:00,544.11,544.19,543.99,544.12,75831.0
2024-06-21 10:08:00,544.2,544.28,544.096,544.12,44625.0
2024-06-21 10:07:00,544.17,544.26,543.96,544.222,100712.0
2024-06-21 10:06:00,543.99,544.24,543.95,544.18,101411.0
2024-06-21 10:05:00,543.98,544.08,543.78,544.02,150115.0
2024-06-21 10:04:00,543.94,544.03,543.78,544.0,105259.0
2024-06-21 10:03:00,544.2,544.23,543.979,543.99,76707.0
2024-06-21 10:02:00,544.05,544.22,544.02,544.18,112073.0
2024-06-21 10:01:00,544.29,544.335,543.92,544.05,153496.0
2024-06-21 10:00:00,543.85,544.375,543.82,544.3,122416.0
2024-06-21 09:59:00,543.78,543.98,543.76,543.85,106665.0
2024-06-21 09:58:00,543.6,543.88,543.57,543.78,119081.0
2024-06-21 09:57:00,543.41,543.63,543.373,543.609,73913.0
2024-06-21 09:56:00,543.56,543.69,543.35,543.41,114887.0
2024-06-21 09:55:00,543.3,543.65,543.3,543.59,144336.0
2024-06-21 09:54:00,543.605,543.67,543.29,543.305,133790.0
2024-06-21 09:53:00,543.17,543.58,543.15,543.58,135116.0
2024-06-21 09:52:00,543.4,543.5,543.15,543.16,227177.0
2024-06-21 09:51:00,543.73,543.81,543.36,543.39,202559.0
2024-06-21 09:50:00,543.88,544.06,543.66,543.73,172407.0
2024-06-21 09:49:00,543.795,543.949,543.78,543.89,113712.0
2024-06-21 09:48:00,543.77,543.98,543.65,543.795,118190.0
2024-06-21 09:47:00,543.78,543.92,543.4,543.765,130300.0
2024-06-21 09:46:00,543.49,543.77,543.43,543.76,184978.0
2024-06-21 09:45:00,543.84,543.85,543.02,543.47,298720.0
2024-06-21 09:44:00,543.737,543.95,543.68,543.874,130155.0
2024-06-21 09:43:00,544.12,544.21,543.73,543.74,132294.0
2024-06-21 09:42:00,544.06,544.12,544.02,544.1,87051.0
2024-06-21 09:41:00,544.34,544.45,543.89,544.05,177826.0
2024-06-21 09:40:00,544.31,544.35,544.15,544.35,144388.0
2024-06-21 09:39:00,544.35,544.45,544.15,544.32,123296.0
2024-06-21 09:38:00,544.65,544.74,544.3,544.33,125548.0
2024-06-21 09:37:00,544.815,544.85,544.53,544.665,176850.0
2024-06-21 09:36:00,544.79,544.86,544.715,544.82,224645.0
2024-06-21 09:35:00,544.66,544.82,544.41,544.79,143438.0
2024-06-21 09:34:00,544.28,544.69,544.28,544.67,136728.0
